Wavelength (nm),ABS_mean,ABS_std,HDPE_mean,HDPE_std,LDPE_mean,LDPE_std,PA6_mean,PA6_std,PA66_mean,PA66_std,PC_mean,PC_std,PET_mean,PET_std,PETG_mean,PETG_std,PLA_mean,PLA_std,PMMA_mean,PMMA_std,POM_mean,POM_std,PP_mean,PP_std,PS_mean,PS_std,PVC_mean,PVC_std,TPU_mean,TPU_std
1550.0,48632.71428571428,7367.01938269705,46559.92105263158,10268.068289045614,51636.71428571428,5313.251566045187,47.77777777777778,109.6666103793619,239.41935483870967,377.38854575106,64205.53191489362,340.3293055490257,55756.36956521739,6819.769683598897,54026.92307692308,8858.28501774589,44798.470588235294,15403.998751728479,54145.21551724138,9729.826789759662,42271.8125,5027.686138010581,50099.125,9669.101396598773,57702.93548387097,3202.7406503270017,54442.11688311688,11481.16753868148,30662.266666666666,5563.622195017279
1553.1496062992126,49502.57142857143,7248.647601754535,46869.07894736842,9957.814237497312,51743.333333333336,5668.622612016107,573.6296296296297,442.4006185237914,411.741935483871,483.3493338818167,64261.59574468085,326.91619458167656,55648.32608695652,7427.260224143596,54380.88461538462,8681.698049641436,45446.529411764706,15307.41265307393,54405.775862068964,9729.487211463822,43148.25,4925.991289831926,50403.4375,9549.133987580257,57743.54838709677,3080.0589734478713,54703.857142857145,11109.882981503843,31609.133333333335,5390.532921912473
1556.2992125984251,51071.04761904762,6803.601325601936,47781.89473684211,9203.079409659496,52062.47619047619,6039.261344135261,2259.4074074074074,1316.5673171873404,1860.032258064516,1465.5591795068653,64246.97872340425,299.9327931360129,55581.45652173913,7916.838174605582,54989.38461538462,8084.6709845852165,46933.58823529412,14526.142660567384,54786.8275862069,9473.6605297183,44510.4375,4729.869870947165,51139.895833333336,9100.355952835907,58051.3870967742,3334.4349299047644,55271.28571428572,10414.498159698687,33379.6,5090.050226340274
1559.4488188976377,53155.19047619047,6096.3905372578,49170.39473684211,8100.042831399018,52565.80952380953,6438.21450861626,4924.925925925926,2460.111423642282,4427.806451612903,2640.143219714328,64204.8085106383,262.7427054920292,55627.34782608696,8304.918488245885,55843.807692307695,7153.491966107993,49066.705882352944,13201.166057073746,55296.68965517241,9007.444204286881,46263.375,4459.105794256849,52256.8125,8394.330027505297,58542.51612903226,4117.955865208413,56088.11688311688,9457.225233450268,35830.46666666667,4692.4558867280675
1562.5984251968505,55519.09523809524,5212.810638497668,50869.31578947369,6778.8019516930135,53215.47619047619,6823.4209379937965,8327.703703703704,3733.7096319762477,7899.129032258064,3859.3755448587667,64186.02127659575,220.04607731802707,55868.413043478264,8580.035921623616,56923.653846153844,6001.662897399659,51594.705882352944,11518.506642201322,55942.85344827586,8385.987195659432,48282.5,4139.5319179829985,53680.083333333336,7519.862534296902,59111.8064516129,5252.444527163149,57079.64935064935,8322.265837453935,38768.933333333334,4240.929009335363
1565.748031496063,57911.57142857143,4247.786813898095,52695.60526315789,5379.182820639864,53969.666666666664,7106.035123372468,12192.407407407407,4988.031224910875,12019.322580645161,4968.414892206872,64235.27659574468,176.538309039777,56373.065217391304,8704.98622080715,58190.769230769234,4754.600123181859,54246.705882352944,9682.496650352277,56726.66379310345,7663.332561445429,50432.1875,3797.8014235006744,55317.479166666664,6567.202213746174,59653.3870967742,6469.740811866943,58162.181818181816,7103.200885803876,41975.86666666667,3781.4218642668734
1568.8976377952756,60105.28571428572,3293.333658321612,54487.26315789474,4040.7124742016695,54788.19047619047,7185.899762193336,16241.962962962964,6087.584879514611,16518.225806451614,5828.298272691872,64379.234042553195,136.02506226614577,57173.413043478264,8631.944517632284,59585.269230769234,3532.8270174475147,56772.294117647056,7886.507985643104,57638.43103448276,6882.741590163609,52584.0,3455.8147555967175,57064.916666666664,5613.240941564468,60081.51612903226,7560.905910353847,59253.62337662338,5889.5842246014545,45232.46666666667,3354.037246198809
1572.0472440944882,61929.52380952381,2427.267238981548,56112.36842105263,2876.0629469453975,55636.57142857143,6988.183656453694,20226.40740740741,6930.847563258791,21133.09677419355,6342.60510411643,64616.72340425532,101.05753619821536,58249.760869565216,8324.583954050438,61025.38461538462,2436.6876804529147,58973.117647058825,6289.4694331767805,58653.224137931036,6075.098571764802,54632.0625,3127.3032006177064,58813.625,4710.627614876988,60344.8064516129,8394.787708585396,60282.2987012987,4755.645648506013,48343.666666666664,2983.4380093368045
1575.1968503937007,63290.95238095238,1705.1440234154911,57491.13157894737,1966.3180549476979,56488.71428571428,6486.441089966474,23947.074074074073,7464.217355842055,25629.709677419356,6474.928980522455,64916.255319148935,71.84808680883322,59525.19565217391,7776.609710674376,62412.57692307692,1535.2200086150751,60726.470588235294,4997.649213470235,59729.16379310345,5263.59824471744,56503.25,2817.617311222374,60459.520833333336,3887.382179294866,60434.3870967742,8911.829733842247,61194.01298701299,3753.902071986575,51159.6,2675.5826231558117
1578.3464566929133,64180.142857142855,1158.0170771713208,58598.38157894737,1357.9596800182987,57328.04761904762,5711.057099014912,27269.40740740741,7686.917516670337,29817.58064516129,6256.945811548766,65219.8085106383,46.775442865125385,60873.5,7020.160033943237,63642.03846153846,860.7339212184534,61991.294117647056,4056.9196770993617,60807.90517241379,4473.810720369981,58160.75,2525.0857534943243,61911.958333333336,3155.273211614258,60380.967741935485,9115.906567497635,61954.97402597403,2914.8539914604885,53587.26666666667,2419.096069930989
1581.496062992126,64660.09523809524,789.4818617152166,59458.23684210526,1053.6552525727939,58145.80952380953,4740.926668701441,30129.037037037036,7646.463944234623,33560.54838709677,5783.711258792061,65451.85106382979,23.416650489445786,62138.413043478264,6124.780878338094,64615.57692307692,408.96794806485593,62799.94117647059,3450.1269963086056,61818.887931034486,3744.2433556602673,59600.75,2246.6988421904703,63102.291666666664,2523.832469003682,60244.74193548387,9062.11840564439,62552.53246753247,2252.0152509484255,55595.53333333333,2196.0298378867465
1584.645669291339,64845.142857142855,576.0547498545012,60131.26315789474,985.5410665750145,58938.619047619046,3689.5091359690514,32525.037037037036,7426.319309059484,36780.709677419356,5197.061658615832,65535.0,0.0,63160.69565217391,5186.329634846347,65258.0,144.96816626683676,63238.470588235294,3105.698313397622,62685.26724137931,3132.702318528379,60842.6875,1978.68579234899,63990.041666666664,2008.4074325023182,60096.41935483871,8837.71397888213,62991.155844155845,1768.5683260096419,57210.86666666667,1988.215845648779
1587.7952755905512,64866.666666666664,469.8742824094986,60694.10526315789,1036.9141919904687,59704.76190476191,2681.6351604546894,34508.11111111111,7128.308553893144,39455.1935483871,4654.7616578694215,65401.085106382976,23.743155598080058,63808.63043478261,4310.022043516188,65529.5,15.959684785782533,63417.35294117647,2923.482390437341,63332.31034482759,2708.126704663885,61916.625,1720.1228471754569,64566.5625,1626.3790162281005,59996.1935483871,8540.439870893388,63288.55844155844,1457.508837989791,58503.53333333333,1784.1328002390653
1590.9448818897638,64841.57142857143,429.8055564165389,61219.47368421053,1116.0712045017583,60440.23809523809,1834.701115006446,36162.37037037037,6851.83645643916,41609.903225806454,4281.077776228624,65009.63829787234,47.55754656624578,64003.565217391304,3585.754045083635,65431.96153846154,55.178368649896726,63444.23529411765,2813.2962147089133,63696.775862068964,2515.690383360918,62851.6875,1470.044205064511,64853.9375,1378.156579853592,59974.0,8261.3153174415,63468.96103896104,1290.3135372676147,59569.666666666664,1576.281813495149
1594.0944881889764,64842.80952380953,457.40849920764725,61759.23684210526,1167.1877906500988,61136.619047619046,1238.570546126633,37586.77777777778,6677.437484396592,43307.903225806454,4118.1267222260385,64350.17021276596,70.42524908344568,63737.934782608696,3063.729606940264,65013.38461538462,100.0284870666955,63398.35294117647,2726.992740152473,63734.862068965514,2530.548256993933,63664.125,1226.8087603106687,64899.854166666664,1232.051135126287,60015.709677419356,8070.070064825749,63557.93506493507,1215.347060021506,60509.13333333333,1360.848013392956
1597.244094488189,64881.71428571428,582.2844291775154,62333.78947368421,1157.0841337261415,61781.19047619047,928.0824377919606,38878.0,6653.638636949794,44637.32258064516,4126.985601381018,63445.27659574468,92.1445908475023,63077.82608695652,2740.2574641362175,64355.307692307695,142.7288362947697,63317.41176470588,2674.7001604099264,63429.19827586207,2670.1479754288307,64353.25,989.0601283541865,64769.666666666664,1147.798097324709,60058.67741935484,8007.897663726474,63578.454545454544,1184.336424929337,61405.066666666666,1136.4527540651318
1600.3937007874017,64903.52380952381,811.927490255815,62929.60526315789,1077.7198527562396,62356.380952380954,842.2156988840283,40117.333333333336,6791.111276541592,45698.41935483871,4243.21083367068,62343.936170212764,112.46586323788819,62150.80434782609,2575.650121557031,63559.192307692305,185.17954265455856,63195.58823529412,2717.785648363356,62792.43965517241,2855.8500132329496,64900.5,755.133349150996,64534.770833333336,1115.6049599429475,59997.25806451613,8079.262414305476,63548.55844155844,1179.4981487684583,62306.13333333333,905.7702333128174
1603.5433070866145,64797.619047619046,1129.1478234740728,63504.84210526316,951.5615843199339,62844.09523809524,879.1739036359456,41363.444444444445,7062.588190643518,46592.83870967742,4421.116543376172,61107.89361702128,131.70409031638349,61121.108695652176,2534.2346175681732,62723.03846153846,221.0583773871005,62993.35294117647,2915.648347657384,61866.1724137931,3044.920219428955,65275.25,525.1709840613817,64259.854166666664,1160.6224621150377,59699.54838709677,8250.33939414776,63481.142857142855,1214.4514844831247,63216.26666666667,675.118208579472
1606.6929133858268,64420.857142857145,1509.3608008726358,64003.10526315789,831.5567768530265,63230.04761904762,977.3832643090806,42650.666666666664,7409.451491669772,47414.0,4629.3781997293145,59796.34042553192,150.13076237928348,60153.63043478261,2601.925569221644,61919.38461538462,230.79895962355118,62656.0,3258.8534252185727,60716.85344827586,3225.6820723640567,65443.4375,305.33833053475286,63993.333333333336,1299.4493438461625,59030.354838709674,8454.351956425859,63385.753246753244,1311.749403489246,64092.26666666667,455.7965140522931
1609.8425196850394,63627.333333333336,1926.488449493468,64368.23684210526,777.1107905234121,63506.95238095238,1086.030319500926,43991.444444444445,7755.117509119183,48240.67741935484,4826.551205685382,58448.936170212764,168.63133706595545,59377.02173913043,2776.431354228806,61173.192307692305,190.9331375580244,62137.76470588235,3663.7798952867333,59426.84482758621,3402.637665013687,65376.1875,131.76030260951134,63759.291666666664,1504.8068391869733,57877.8064516129,8610.376408614371,63270.142857142855,1473.6725456490085,64848.6,261.5881750640371
1612.992125984252,62301.52380952381,2355.2776930412833,64561.81578947369,796.9122600870239,63678.52380952381,1143.5210293961372,45381.851851851854,8020.952671337109,49133.22580645161,4952.281785651471,57073.70212765958,188.26225651870757,58849.239130434784,3049.153062628765,60449.42307692308,162.95166179833893,61420.76470588235,4025.6244313502143,57608.53448275862,6445.199168200815,65062.5,193.0262287876961,63554.229166666664,1726.616262611925,56176.967741935485,8647.55819528813,63142.5974025974,1676.16198315064,65370.6,106.12118858487528
1616.1417322834643,60382.28571428572,2772.609122638598,64574.05263157895,835.4688235503785,63762.0,1101.9120179207118,46808.74074074074,8142.684940724143,50131.0,4943.31745732266,55639.65957446808,210.87036217157714,58535.80434782609,3402.531721217914,59648.38461538462,384.84363227390827,60528.82352941176,4263.827571219716,56298.862068965514,6458.739447975674,64509.8125,368.390794325469,63350.020833333336,1927.725629785691,53927.83870967742,8531.377225341885,63012.44155844156,1885.0766527768374,65533.6,5.238320341483518
1619.291338582677,57882.23809523809,3160.3957242387933,64428.55263157895,832.6390415694584,63785.0,946.70903661051,48254.666666666664,8083.400558712441,51254.16129032258,4756.415138945026,54079.31914893617,238.1303153320189,58304.30434782609,3810.433496219496,58616.230769230766,803.2116450510179,59530.23529411765,4344.366379433752,55071.14655172414,6499.326157717018,63744.5625,541.480605464083,63101.5625,2100.400575944285,51200.51612903226,8281.840355204555,62890.155844155845,2072.6883168555473,65221.666666666664,67.4997942383695
