labelMaterialsString,spectrum
PMMA,"[61510, 61839, 62000, 62038, 62008, 61968, 61968, 62038, 62185, 62387, 62597, 62751, 62773, 62592, 62151, 61419, 60395, 59111, 57629, 56033, 54414, 52859, 51438, 50186, 49103, 48145, 47230, 46247, 45068, 43568, 41640, 39211, 36256, 32803, 28935, 24782, 20511, 16306, 12352, 8814, 5822, 3455, 1740, 648, 105, 0, 202, 580, 1017, 1424, 1747, 1973, 2128, 2265, 2456, 2781, 3311, 4099, 5174, 6535, 8155, 9984, 11958, 14009, 16070, 18086, 20016, 21839, 23545, 25143, 26647, 28078, 29456, 30803, 32137, 33478, 34843, 36254, 37732, 39300, 40977, 42776, 44700, 46734, 48845, 50984, 53085, 55075, 56880, 58438, 59707, 60674, 61357, 61804, 62089, 62297, 62515, 62810, 63220, 63746, 64341, 64918, 65360, 65535, 65311, 64586, 63296, 61437, 59065, 56299, 53309, 50298, 47486, 45081, 43263, 42161, 41847, 42327, 43545, 45391, 47716, 50346, 53096, 55786, 58252, 60359, 61997, 63095]"
PVC,"[1418, 175, 0, 878, 2775, 5624, 9312, 13681, 18521, 23582, 28595, 33291, 37427, 40819, 43353, 45005, 45839, 45996, 45674, 45098, 44492, 44043, 43882, 44066, 44574, 45321, 46170, 46965, 47555, 47823, 47703, 47197, 46368, 45331, 44237, 43244, 42495, 42093, 42088, 42470, 43174, 44088, 45079, 46007, 46753, 47234, 47414, 47309, 46981, 46528, 46068, 45722, 45598, 45777, 46307, 47199, 48429, 49948, 51686, 53562, 55496, 57410, 59235, 60910, 62384, 63615, 64567, 65212, 65535, 65528, 65200, 64574, 63690, 62599, 61361, 60038, 58686, 57351, 56060, 54821, 53623, 52438, 51233, 49972, 48627, 47183, 45646, 44036, 42389, 40749, 39159, 37654, 36256, 34970, 33786, 32679, 31624, 30597, 29586, 28595, 27645, 26770, 26013, 25409, 24982, 24731, 24627, 24610, 24600, 24505, 24238, 23732, 22954, 21918, 20682, 19345, 18035, 16882, 16002, 15471, 15308, 15465, 15825, 16218, 16435, 16261, 15499, 14000]"
PVC,"[664, 0, 604, 2373, 5155, 8762, 12976, 17567, 22299, 26951, 31321, 35246, 38603, 41318, 43365, 44763, 45570, 45874, 45785, 45418, 44888, 44301, 43744, 43286, 42969, 42816, 42825, 42978, 43240, 43566, 43905, 44203, 44416, 44505, 44452, 44256, 43939, 43544, 43131, 42772, 42539, 42493, 42677, 43104, 43757, 44581, 45501, 46422, 47251, 47909, 48349, 48567, 48603, 48540, 48497, 48605, 48988, 49746, 50928, 52528, 54476, 56649, 58884, 61001, 62832, 64242, 65148, 65535, 65448, 64990, 64297, 63514, 62773, 62165, 61731, 61451, 61255, 61035, 60667, 60038, 59065, 57714, 56007, 54018, 51862, 49672, 47581, 45696, 44079, 42742, 41646, 40710, 39828, 38892, 37817, 36549, 35086, 33473, 31795, 30161, 28685, 27460, 26547, 25952, 25634, 25500, 25429, 25283, 24936, 24290, 23297, 21963, 20352, 18576, 16779, 15120, 13744, 12766, 12255, 12217, 12599, 13289, 14126, 14920, 15471, 15585, 15099, 13894]"
PVC,"[544, 0, 1110, 3646, 7301, 11723, 16560, 21487, 26237, 30617, 34509, 37862, 40674, 42979, 44821, 46245, 47289, 47984, 48359, 48452, 48317, 48027, 47671, 47351, 47163, 47183, 47450, 47960, 48659, 49451, 50216, 50827, 51175, 51194, 50871, 50256, 49451, 48596, 47846, 47337, 47169, 47379, 47942, 48766, 49719, 50645, 51399, 51873, 52016, 51849, 51457, 50977, 50576, 50419, 50641, 51323, 52479, 54053, 55929, 57951, 59948, 61762, 63268, 64391, 65114, 65470, 65535, 65401, 65167, 64914, 64692, 64522, 64387, 64250, 64057, 63755, 63302, 62670, 61855, 60867, 59731, 58478, 57136, 55729, 54273, 52778, 51250, 49698, 48134, 46579, 45061, 43610, 42254, 41013, 39897, 38899, 37998, 37162, 36357, 35549, 34717, 33852, 32961, 32059, 31170, 30312, 29493, 28704, 27920, 27101, 26204, 25191, 24045, 22777, 21434, 20096, 18862, 17843, 17134, 16795, 16832, 17189, 17743, 18315, 18690, 18642, 17968, 16512]"
PA6,"[161, 0, 284, 1024, 2224, 3877, 5955, 8400, 11130, 14033, 16982, 19847, 22505, 24863, 26864, 28502, 29816, 30892, 31849, 32819, 33929, 35284, 36946, 38927, 41184, 43627, 46132, 48559, 50772, 52658, 54146, 55211, 55874, 56194, 56251, 56128, 55888, 55560, 55126, 54524, 53652, 52390, 50619, 48249, 45243, 41630, 37515, 33076, 28542, 24176, 20237, 16953, 14489, 12930, 12269, 12414, 13201, 14421, 15849, 17278, 18543, 19545, 20253, 20705, 20997, 21257, 21622, 22214, 23119, 24376, 25969, 27837, 29882, 31987, 34036, 35932, 37604, 39020, 40184, 41128, 41907, 42580, 43208, 43837, 44498, 45207, 45965, 46771, 47620, 48515, 49471, 50507, 51651, 52927, 54350, 55916, 57598, 59341, 61062, 62659, 64015, 65010, 65535, 65497, 64834, 63516, 61546, 58963, 55834, 52250, 48314, 44141, 39845, 35535, 31313, 27267, 23470, 19977, 16828, 14041, 11620, 9550, 7804, 6344, 5128, 4113, 3259, 2540]"
PA6,"[185, 0, 433, 1452, 3001, 5010, 7387, 10029, 12818, 15634, 18364, 20908, 23191, 25171, 26840, 28228, 29396, 30430, 31425, 32477, 33664, 35041, 36626, 38403, 40322, 42310, 44278, 46136, 47808, 49240, 50404, 51302, 51957, 52410, 52700, 52856, 52888, 52774, 52467, 51891, 50959, 49586, 47704, 45281, 42329, 38917, 35166, 31241, 27339, 23662, 20404, 17720, 15718, 14441, 13869, 13922, 14475, 15378, 16472, 17615, 18700, 19661, 20481, 21189, 21847, 22540, 23355, 24366, 25620, 27131, 28874, 30792, 32801, 34806, 36711, 38434, 39915, 41125, 42064, 42762, 43267, 43643, 43957, 44271, 44638, 45096, 45669, 46369, 47200, 48160, 49246, 50453, 51780, 53221, 54766, 56396, 58079, 59765, 61389, 62871, 64120, 65039, 65535, 65526, 64950, 63769, 61976, 59594, 56676, 53300, 49565, 45581, 41464, 37323, 33262, 29366, 25704, 22324, 19254, 16504, 14067, 11927, 10057, 8426, 7004, 5760, 4672, 3722]"
PA6,"[116, 0, 602, 1860, 3681, 5951, 8539, 11304, 14107, 16821, 19338, 21579, 23499, 25093, 26390, 27452, 28365, 29225, 30130, 31160, 32375, 33802, 35432, 37225, 39115, 41018, 42846, 44520, 45978, 47182, 48122, 48815, 49297, 49612, 49803, 49898, 49908, 49813, 49569, 49113, 48369, 47264, 45739, 43767, 41355, 38556, 35464, 32209, 28945, 25834, 23031, 20666, 18833, 17579, 16905, 16765, 17079, 17739, 18631, 19642, 20681, 21680, 22604, 23450, 24242, 25022, 25842, 26753, 27793, 28987, 30333, 31811, 33383, 34995, 36591, 38113, 39515, 40763, 41840, 42747, 43498, 44123, 44657, 45139, 45609, 46104, 46653, 47283, 48011, 48854, 49820, 50916, 52144, 53499, 54968, 56530, 58149, 59775, 61347, 62789, 64017, 64940, 65472, 65535, 65063, 64017, 62378, 60161, 57405, 54176, 50564, 46672, 42611, 38494, 34425, 30497, 26785, 23345, 20211, 17397, 14903, 12710, 10793, 9120, 7658, 6376, 5248, 4254]"
PA66,"[218, 0, 613, 2011, 4123, 6848, 10063, 13621, 17362, 21116, 24724, 28045, 30969, 33433, 35424, 36978, 38179, 39148, 40026, 40956, 42067, 43456, 45178, 47236, 49587, 52141, 54781, 57367, 59763, 61843, 63509, 64693, 65366, 65535, 65231, 64512, 63442, 62089, 60515, 58769, 56888, 54896, 52806, 50628, 48372, 46052, 43696, 41343, 39046, 36870, 34887, 33171, 31788, 30794, 30225, 30090, 30371, 31021, 31967, 33117, 34365, 35606, 36742, 37696, 38414, 38877, 39097, 39112, 38986, 38790, 38597, 38468, 38443, 38535, 38728, 38982, 39236, 39422, 39471, 39331, 38967, 38373, 37569, 36597, 35516, 34392, 33284, 32242, 31297, 30458, 29717, 29052, 28434, 27836, 27241, 26645, 26058, 25505, 25016, 24621, 24339, 24175, 24109, 24100, 24088, 23996, 23749, 23275, 22526, 21478, 20143, 18566, 16824, 15014, 13245, 11627, 10253, 9191, 8477, 8109, 8047, 8219, 8525, 8851, 9079, 9095, 8805, 8140]"
PA66,"[250, 0, 536, 1843, 3892, 6624, 9950, 13744, 17847, 22071, 26214, 30082, 33504, 36358, 38582, 40183, 41240, 41893, 42323, 42732, 43313, 44222, 45564, 47370, 49600, 52150, 54864, 57559, 60052, 62181, 63828, 64930, 65484, 65535, 65167, 64484, 63585, 62548, 61418, 60201, 58868, 57363, 55623, 53597, 51263, 48639, 45793, 42841, 39931, 37233, 34912, 33108, 31915, 31372, 31452, 32070, 33095, 34365, 35711, 36979, 38046, 38833, 39312, 39501, 39457, 39261, 39004, 38767, 38613, 38580, 38673, 38872, 39136, 39414, 39653, 39807, 39846, 39753, 39529, 39187, 38747, 38232, 37660, 37046, 36398, 35719, 35007, 34262, 33486, 32686, 31877, 31076, 30303, 29582, 28929, 28360, 27881, 27491, 27185, 26950, 26768, 26621, 26486, 26339, 26153, 25899, 25546, 25063, 24421, 23597, 22578, 21368, 19987, 18474, 16886, 15297, 13782, 12418, 11264, 10359, 9713, 9301, 9066, 8925, 8778, 8521, 8062, 7331]"
PA66,"[264, 0, 958, 3027, 6048, 9820, 14115, 18694, 23317, 27764, 31847, 35426, 38415, 40790, 42581, 43870, 44775, 45439, 46007, 46613, 47368, 48346, 49582, 51074, 52783, 54645, 56580, 58500, 60318, 61955, 63342, 64425, 65164, 65535, 65523, 65133, 64380, 63297, 61929, 60335, 58586, 56754, 54912, 53123, 51437, 49884, 48472, 47192, 46022, 44935, 43908, 42933, 42022, 41208, 40544, 40095, 39930, 40101, 40640, 41541, 42762, 44224, 45816, 47414, 48895, 50152, 51108, 51729, 52024, 52038, 51846, 51535, 51187, 50868, 50614, 50430, 50290, 50148, 49948, 49638, 49184, 48575, 47826, 46979, 46085, 45200, 44371, 43621, 42952, 42335, 41727, 41073, 40326, 39457, 38464, 37381, 36269, 35210, 34295, 33600, 33177, 33035, 33139, 33408, 33725, 33957, 33969, 33648, 32919, 31758, 30192, 28299, 26195, 24015, 21896, 19960, 18297, 16955, 15942, 15223, 14734, 14388, 14089, 13742, 13262, 12577, 11635, 10401]"
