Wavelength (nm),ABS_mean,ABS_std,HDPE_mean,HDPE_std,LDPE_mean,LDPE_std,PA6_mean,PA6_std,PA66_mean,PA66_std,PC_mean,PC_std,PET_mean,PET_std,PETG_mean,PETG_std,PLA_mean,PLA_std,PMMA_mean,PMMA_std,POM_mean,POM_std,PP_mean,PP_std,PS_mean,PS_std,PVC_mean,PVC_std,TPU_mean,TPU_std
1581.496062992126,64660.09523809524,789.4818617152166,52767.34693877551,15717.045150644208,58145.80952380953,4740.926668701441,30129.037037037036,7646.463944234623,33560.54838709677,5783.711258792061,65451.85106382979,23.416650489445786,59457.94545454546,9030.245981585102,64615.57692307692,408.96794806485593,60129.045454545456,5797.620111086904,56861.643356643355,11978.94416025402,59600.75,2246.6988421904703,58659.833333333336,9902.12169885267,60021.694444444445,8489.539026287472,57302.865979381444,11368.26017537548,55595.53333333333,2196.0298378867465
1584.645669291339,64845.142857142855,576.0547498545012,54053.448979591834,14631.981854215474,58938.619047619046,3689.5091359690514,32525.037037037036,7426.319309059484,36780.709677419356,5197.061658615832,65535.0,0.0,60793.63636363636,7901.349473610962,65258.0,144.96816626683676,61027.36363636364,4924.621125670986,58363.26573426573,10559.346318340167,60842.6875,1978.68579234899,60074.45,8719.524880834964,60071.194444444445,8259.072855618455,58507.64948453608,9772.266338076013,57210.86666666667,1988.215845648779
1587.7952755905512,64866.666666666664,469.8742824094986,55192.71428571428,13491.31016920272,59704.76190476191,2681.6351604546894,34508.11111111111,7128.308553893144,39455.1935483871,4654.7616578694215,65401.085106382976,23.743155598080058,61690.10909090909,6904.754750888504,65529.5,15.959684785782533,61556.86363636364,4308.313552101697,59580.41258741259,9310.036535068866,61916.625,1720.1228471754569,61117.183333333334,7672.463883898198,60098.583333333336,7981.800887626941,59480.61855670103,8349.695802154807,58503.53333333333,1784.1328002390653
1590.9448818897638,64841.57142857143,429.8055564165389,56227.36734693877,12421.802455054707,60440.23809523809,1834.701115006446,36162.37037037037,6851.83645643916,41609.903225806454,4281.077776228624,65009.63829787234,47.55754656624578,62112.09090909091,6045.621565977172,65431.96153846154,55.178368649896726,61865.318181818184,3845.287888340076,60440.97902097902,8268.164327661265,62851.6875,1470.044205064511,61821.683333333334,6765.882079698764,60161.72222222222,7725.290079455165,60233.0,7157.8888251348035,59569.666666666664,1576.281813495149
1594.0944881889764,64842.80952380953,457.40849920764725,57189.08163265306,11531.010520591384,61136.619047619046,1238.570546126633,37586.77777777778,6677.437484396592,43307.903225806454,4118.1267222260385,64350.17021276596,70.42524908344568,62086.32727272727,5310.49889474373,65013.38461538462,100.0284870666955,62075.0,3448.433333347979,60898.769230769234,7443.404603647359,63664.125,1226.8087603106687,62246.11666666667,5998.0691062254,60275.694444444445,7551.738294442341,60785.34020618557,6230.697534855764,60509.13333333333,1360.848013392956
1597.244094488189,64881.71428571428,582.2844291775154,58089.816326530614,10889.564762715088,61781.19047619047,928.0824377919606,38878.0,6653.638636949794,44637.32258064516,4126.985601381018,63445.27659574468,92.1445908475023,61697.181818181816,4690.73515498529,64355.307692307695,142.7288362947697,62261.40909090909,3081.721075501494,60939.769230769234,6818.690035475466,64353.25,989.0601283541865,62461.85,5371.960436144332,60403.5,7504.923870736835,61162.8969072165,5573.40062488373,61405.066666666666,1136.4527540651318
1600.3937007874017,64903.52380952381,811.927490255815,58919.38775510204,10524.23674253441,62356.380952380954,842.2156988840283,40117.333333333336,6791.111276541592,45698.41935483871,4243.21083367068,62343.936170212764,112.46586323788819,61072.236363636366,4213.731768499213,63559.192307692305,185.17954265455856,62443.77272727273,2789.8608784443677,60584.12587412587,6361.180427539228,64900.5,755.133349150996,62541.15,4904.264004669814,60458.083333333336,7599.301822371579,61391.927835051545,5171.189358991293,62306.13333333333,905.7702333128174
1603.5433070866145,64797.619047619046,1129.1478234740728,59649.02040816326,10418.79181073803,62844.09523809524,879.1739036359456,41363.444444444445,7062.588190643518,46592.83870967742,4421.116543376172,61107.89361702128,131.70409031638349,60359.0,3946.289295021337,62723.03846153846,221.0583773871005,62592.27272727273,2690.4121377726465,59884.006993006995,6035.153808268816,65275.25,525.1709840613817,62544.98333333333,4619.538326469672,60316.944444444445,7816.148777955535,61497.721649484534,5000.178616896751,63216.26666666667,675.118208579472
1606.6929133858268,64420.857142857145,1509.3608008726358,60240.69387755102,10519.053432242405,63230.04761904762,977.3832643090806,42650.666666666664,7409.451491669772,47414.0,4629.3781997293145,59796.34042553192,150.13076237928348,59694.836363636365,3935.6972433617093,61919.38461538462,230.79895962355118,62644.40909090909,2879.8084636291496,58917.846153846156,5810.445245276762,65443.4375,305.33833053475286,62515.55,4522.179325004704,59844.75,8105.799252438549,61504.50515463918,5026.65021397797,64092.26666666667,455.7965140522931
1609.8425196850394,63627.333333333336,1926.488449493468,60658.32653061225,10741.28968121737,63506.95238095238,1086.030319500926,43991.444444444445,7755.117509119183,48240.67741935484,4826.551205685382,58448.936170212764,168.63133706595545,59178.30909090909,4143.5954210750015,61173.192307692305,190.9331375580244,62531.454545454544,3309.149378854065,57780.153846153844,5662.786019337733,65376.1875,131.76030260951134,62471.25,4568.99639828048,58921.305555555555,8402.393292718729,61435.69072164949,5197.220280747675,64848.6,261.5881750640371
